,NSW1,QLD1,SA1,TAS1,VIC1
2024-01-08 08:00:00,7913.87,6498.27,1175.11,1157.65,5108.5
2024-01-08 08:30:00,7989.04,6529.3,1042.08,1201.71,5167.37
2024-01-08 09:00:00,8091.88,6400.49,938.68,1171.27,5209.41
2024-01-08 09:30:00,8133.06,6313.94,886.43,1153.79,5267.58
2024-01-08 10:00:00,7987.71,6423.62,826.9,1171.9,5243.47
2024-01-08 10:30:00,7721.12,6388.74,772.6,1171.85,5199.39
2024-01-08 11:00:00,7637.44,6370.94,739.85,1145.29,5186.41
2024-01-08 11:30:00,7643.74,6641.64,685.17,1135.42,5125.49
2024-01-08 12:00:00,7851.42,6761.7,597.57,1093.37,5011.82
2024-01-08 12:30:00,8170.69,6762.31,569.56,1088.78,4940.78
2024-01-08 13:00:00,8241.78,6899.73,504.6,1087.14,4829.15
2024-01-08 13:30:00,8350.36,7030.42,511.08,1066.12,4791.1
2024-01-08 14:00:00,8148.22,7056.57,480.88,1074.92,4733.41
2024-01-08 14:30:00,8277.7,7222.15,491.4,1061.57,4682.79
2024-01-08 15:00:00,8100.82,7454.92,567.74,1047.59,4637.64
2024-01-08 15:30:00,8210.25,7685.61,684.22,1075.89,4685.59
2024-01-08 16:00:00,8456.64,7952.79,804.12,1121.22,4874.85
